,1A,2A,3A,1B,2B,3B,1C,2C,3C
60,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,115.58485711624155,999.0
61,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,116.53793458443434,999.0
62,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,117.49343636026933,999.0
63,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,118.45128152061295,999.0
64,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,119.41139237786129,999.0
65,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,120.37369446271819,999.0
66,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,121.33811633647164,999.0
67,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,122.30458940088096,999.0
68,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,123.27304779150228,999.0
69,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,124.2434282260592,999.0
70,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,125.21566992823679,999.0
71,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,126.18971445257168,999.0
72,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,127.16550560885847,999.0
73,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,128.14298934637745,999.0
74,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,129.12211367453193,999.0
75,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,130.10282850998482,999.0
76,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,131.08508568540842,999.0
77,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,132.06883876011727,999.0
78,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,133.0540430454413,999.0
79,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,134.04065542822696,999.0
80,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,135.0286343658387,999.0
81,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,136.01793978007655,999.0
82,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,137.00853302830478,999.0
83,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,138.00037679499803,999.0
84,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,138.99343518453676,999.0
85,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,139.98767334135493,999.0
86,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,140.9830577294356,999.0
87,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,141.97955593133298,999.0
88,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,142.97713663057607,999.0
89,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,143.97576953741552,999.0
90,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,144.97542537082543,999.0
91,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,145.97607579910232,999.0
92,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,146.97769345686999,999.0
93,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,147.9802518253703,999.0
94,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,148.98372524405536,999.0
95,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,149.9880888717862,999.0
96,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,150.9933186568328,999.0
97,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,151.99939130326786,999.0
98,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,153.0062842344523,999.0
99,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,154.0139755630934,999.0
100,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,155.0224440824628,999.0
101,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,156.03166924611742,999.0
102,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,157.041631053327,999.0
103,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,158.05231021382878,999.0
104,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,159.06368792963545,999.0
105,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,160.07574596882574,999.0
106,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,161.08846664798813,999.0
107,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,162.1018327920443,999.0
108,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,163.11582770821377,999.0
109,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,164.13043519788783,999.0
110,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,165.145639514148,999.0
111,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,166.16142533205522,999.0
112,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,167.17777781559892,999.0
113,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,168.19468246773067,999.0
114,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,169.21212519662083,999.0
115,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,170.23009239399846,999.0
116,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,171.24857068559868,999.0
117,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,172.26754713005562,999.0
118,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,173.2870091267328,999.0
119,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,174.306944388403,999.0
120,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,175.32734098672728,999.0
121,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,176.34818726399035,999.0
122,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,177.36947189425683,999.0
123,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,178.39118381024474,999.0
124,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,179.4133122620954,999.0
125,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,180.4358467969511,999.0
