mid_date,date_dt,vx_error,vy_error,acquisition_date_img1,acquisition_date_img2,str_250_error,str_500_error,vel_250,vel_frac_250,e_1_250,e_2_250,e_zz_250,e_lon_250,e_shr_250,e_trn_250,e_e_250,str_frac_250,vel_500,vel_frac_500,e_1_500,e_2_500,e_zz_500,e_lon_500,e_shr_500,e_trn_500,e_e_500,str_frac_500
2016-04-08T15:40:18.200000,P20DT0H1M3.643798828S,41.75999984741211,77.81999816894532,2016-03-29T15:39:46.400000,2016-04-18T15:40:50,0.17663351553168513,0.08831675776584257,,0.0,,,,,,,,0.0,,0.0,,,,,,,,0.0
2016-04-10T15:29:43.444444416,P29DT23H59M37.093505859S,32.27777756585015,51.01111094156901,2016-03-26T15:29:54.888888832,2016-04-25T15:29:32,0.12073091342458336,0.06036545671229168,224.83202652704148,1.0,0.14438328940069814,-0.025899840947547048,-0.11848344845315109,0.09454997425525771,-0.04558666140619442,0.023933472850504553,0.10751029785054979,1.0,224.83202652704148,1.0,0.13917580131607,-0.02404473773836477,-0.11513106357770522,0.09731640560776723,-0.03916469129573575,0.017814656678491383,0.10156250231513042,1.0
2016-04-13T15:39:50.800000,P30DT0H0M8.767089844S,44.7,80.98000030517578,2016-03-29T15:39:46.400000,2016-04-28T15:39:55.200000,0.18499568048391044,0.09249784024195522,,0.0,,,,,,,,0.0,,0.0,,,,,,,,0.0
2016-04-15T15:29:30.400000512,P20DT0H0M3.1640625S,44.90666732788086,68.7,2016-04-05T15:29:28.800000512,2016-04-25T15:29:32.000000512,0.16414991648486407,0.08207495824243204,229.3707697550456,1.0,0.16672902546247487,-0.020471794179084634,-0.14625723128339024,0.09975737127893361,-0.05092304642063916,0.04649986004197912,0.12758253442894527,1.0,229.3707697550456,1.0,0.15594781871821795,-0.014702461944185952,-0.141245356774032,0.10404114119013108,-0.04402235660100326,0.03720421612593313,0.11434139210373356,1.0
2016-04-20T15:29:21.045454592,P29DT23H59M43.56545188S,29.309091567993164,58.618181402033024,2016-04-05T15:29:29.272727296,2016-05-05T15:29:12.818181888,0.13107423910780727,0.06553711955390364,,0.0,,,,,,,,0.0,,0.0,,,,,,,,0.0
2016-05-03T15:40:04.100000,P29DT23H59M20.251464841S,37.619999694824216,80.81999969482422,2016-04-18T15:40:24,2016-05-18T15:39:44.200000,0.17829342924190966,0.08914671462095483,,0.0,,,,,,,,0.0,,0.0,,,,,,,,0.0
2016-05-05T15:29:22,P19DT23H59M40.05981445S,37.47999954223633,71.98000030517578,2016-04-25T15:29:32,2016-05-15T15:29:12,0.16230675660143223,0.08115337830071612,,0.0,,,,,,,,0.0,,0.0,,,,,,,,0.0
2016-05-08T15:40:48.214285568,P19DT23H59M5.547049384S,40.0428581237793,45.28571374075754,2016-04-28T15:41:15.428571392,2016-05-18T15:40:20.999999744,0.12090039463510371,0.06045019731755186,208.55194556826638,1.0,0.13458490171114756,-0.045251750973928626,-0.08933315073721894,0.09975038182167585,-0.037953501814907975,-0.010417230848882079,0.10486852485623072,1.0,208.55194556826638,1.0,0.12465463610929484,-0.038712923861689515,-0.08594171224760533,0.10100845099168515,-0.03386826345443361,-0.015066738653440746,0.0946954954360335,1.0
2016-05-10T15:29:12,P10DT0H0M0S,39.21999969482422,56.83999938964844,2016-05-05T15:29:12,2016-05-15T15:29:12,0.13811580513000307,0.06905790256500154,,0.0,,,,,,,,0.0,,0.0,,,,,,,,0.0
2016-05-13T15:40:06,P29DT23H58M11.976928711S,43.42500019073486,46.750000953674316,2016-04-28T15:41:00,2016-05-28T15:39:12,0.12761337282172072,0.06380668641086036,211.63296465192522,1.0,0.13525836843079764,-0.04270303680472313,-0.09255533162607452,0.09139105278265139,-0.042893614290822765,0.0011642788214913876,0.10441561706899742,1.0,211.63296465192522,1.0,0.12777722905116587,-0.03323322161146832,-0.09454400743969754,0.09449032213558732,-0.04010532783652989,5.368495951072478e-05,0.0952128788571281,1.0
2016-05-23T15:39:12,P10DT0H0M0S,50.55000114440918,82.5999984741211,2016-05-18T15:39:12,2016-05-28T15:39:12,0.19368079268347263,0.09684039634173632,,0.0,,,,,,,,0.0,,0.0,,,,,,,,0.0
2016-06-02T15:39:51.750000,P29DT23H58M38.50891113S,35.27500057220459,41.19999980926514,2016-05-18T15:40:32.500000,2016-06-17T15:39:11,0.10847609229046705,0.054238046145233525,209.39738591512045,1.0,0.13922153761843362,-0.03916535170428742,-0.1000561859141462,0.09991879398110569,-0.044995276805999095,0.0001373914547782442,0.10701729777570497,1.0,209.39738591512045,1.0,0.12630171509315005,-0.029879828361982486,-0.09642188673116757,0.09914722782171463,-0.03881787559460471,-0.002725341646821499,0.09457917818911035,1.0
2016-06-07T15:39:11.500000,P19DT23H59M59.011230468S,55.67499923706055,73.82499885559082,2016-05-28T15:39:12,2016-06-17T15:39:11,0.18493064641724127,0.09246532320862064,210.28034526279995,1.0,0.1483350219601953,-0.04721820396318866,-0.10111681799700664,0.11117526944755723,-0.03970219779298891,-0.010058451199909819,0.11736892899953104,1.0,210.28034526279995,1.0,0.12410780140739845,-0.03839572689878652,-0.08571207450861193,0.10649523638451168,-0.028041097143961864,-0.020783161881976424,0.09740020819670668,1.0
2016-06-12T15:39:12,P30DT0H0M0S,56.20000076293945,32.5,2016-05-28T15:39:12,2016-06-27T15:39:12,0.12984128905328066,0.06492064452664033,,0.0,,,,,,,,0.0,,0.0,,,,,,,,0.0
2016-06-27T15:39:11.500000,P20DT0H0M0.988769531S,31.899999618530273,52.05000019073486,2016-06-17T15:39:11,2016-07-07T15:39:12,0.12209524962942221,0.061047624814711106,270.2347181774321,1.0,0.13879751790480696,-0.05416517928210653,-0.08463233862270042,0.07537205986961863,-0.0563547420996677,0.009260279098931044,0.11141545610673749,1.0,270.2347181774321,1.0,0.13432890032910047,-0.04240727832344173,-0.09192162200565873,0.08252639067226829,-0.055523010644612514,0.009395231535302846,0.10264061837090696,1.0
2016-07-02T15:39:46,P30DT0H1M10.037841797S,21.0,38.90000057220459,2016-06-17T15:39:11,2016-07-17T15:40:21,0.0884128959941369,0.04420644799706845,256.59752575102306,1.0,0.1320042061960818,-0.05043724622133854,-0.08156695997474325,0.06208223527871084,-0.0596119406730096,0.01948472488647461,0.10440305689510518,1.0,256.59752575102306,1.0,0.12912127707297036,-0.04032042597410535,-0.08880085109886501,0.07135290250360758,-0.05795241357973164,0.017447948668655757,0.09797961123762422,1.0
2016-07-02T15:39:12,P10DT0H0M0S,197.1999969482422,98.5,2016-06-27T15:39:12,2016-07-07T15:39:12,0.4408631932760399,0.22043159663801995,,0.0,,,,,,,,0.0,,0.0,,,,,,,,0.0
