mid_date,date_dt,vx_error,vy_error,acquisition_date_img1,acquisition_date_img2,str_250_error,str_500_error,vel_250,vel_frac_250,e_1_250,e_2_250,e_zz_250,e_lon_250,e_shr_250,e_trn_250,e_e_250,str_frac_250,vel_500,vel_frac_500,e_1_500,e_2_500,e_zz_500,e_lon_500,e_shr_500,e_trn_500,e_e_500,str_frac_500
2016-04-08T15:40:18.200000,P20DT0H1M3.643798828S,41.75999984741211,77.81999816894532,2016-03-29T15:39:46.400000,2016-04-18T15:40:50,0.17663351553168513,0.08831675776584257,,0.0,,,,,,,,0.0,,0.0,,,,,,,,0.0
2016-04-10T15:29:43.444444416,P29DT23H59M37.093505859S,32.27777756585015,51.01111094156901,2016-03-26T15:29:54.888888832,2016-04-25T15:29:32,0.12073091342458336,0.06036545671229168,435.8610439539953,1.0,0.05311462509454503,-0.07789447098670244,0.024779845892157405,-0.022313343210090604,-0.0320200069792191,-0.0024665027862650897,0.07701736635103212,1.0,435.8610439539953,1.0,0.04500540019664253,-0.06375502330483719,0.01874962310819466,-0.01843342082038831,-0.03193554965228141,-0.00031620233112408255,0.060858135482977326,1.0
2016-04-13T15:39:50.800000,P30DT0H0M8.767089844S,44.7,80.98000030517578,2016-03-29T15:39:46.400000,2016-04-28T15:39:55.200000,0.18499568048391044,0.09249784024195522,,0.0,,,,,,,,0.0,,0.0,,,,,,,,0.0
2016-04-15T15:29:30.400000512,P20DT0H0M3.1640625S,44.90666732788086,68.7,2016-04-05T15:29:28.800000512,2016-04-25T15:29:32.000000512,0.16414991648486407,0.08207495824243204,449.9286206935739,1.0,0.06267793591907614,-0.08920819923025985,0.026530263311183716,-0.022611390076193474,-0.03217357882856985,-0.00391887314179435,0.08867139252054733,1.0,449.9286206935739,1.0,0.04945131320189799,-0.07010068123203195,0.02064936803013396,-0.022103964037128897,-0.03260074006770814,0.0014545959906416609,0.06750646814726778,1.0
2016-04-20T15:29:21.045454592,P29DT23H59M43.56545188S,29.309091567993164,58.618181402033024,2016-04-05T15:29:29.272727296,2016-05-05T15:29:12.818181888,0.13107423910780727,0.06553711955390364,,0.0,,,,,,,,0.0,,0.0,,,,,,,,0.0
2016-05-03T15:40:04.100000,P29DT23H59M20.251464841S,37.619999694824216,80.81999969482422,2016-04-18T15:40:24,2016-05-18T15:39:44.200000,0.17829342924190966,0.08914671462095483,,0.0,,,,,,,,0.0,,0.0,,,,,,,,0.0
2016-05-05T15:29:22,P19DT23H59M40.05981445S,37.47999954223633,71.98000030517578,2016-04-25T15:29:32,2016-05-15T15:29:12,0.16230675660143223,0.08115337830071612,,0.0,,,,,,,,0.0,,0.0,,,,,,,,0.0
2016-05-08T15:40:48.214285568,P19DT23H59M5.547049384S,40.0428581237793,45.28571374075754,2016-04-28T15:41:15.428571392,2016-05-18T15:40:20.999999744,0.12090039463510371,0.06045019731755186,441.4219445902932,1.0,0.061013527647287194,-0.08944596686770924,0.028432439220422046,-0.0016504895857396265,-0.038773354542854854,-0.026781949122403986,0.08848693253792168,1.0,441.4219445902932,1.0,0.049448953930824754,-0.0725759898533906,0.023127035922565847,0.0003240626777205741,-0.035911985870928205,-0.02345109840479272,0.06977295304882852,1.0
2016-05-10T15:29:12,P10DT0H0M0S,39.21999969482422,56.83999938964844,2016-05-05T15:29:12,2016-05-15T15:29:12,0.13811580513000307,0.06905790256500154,,0.0,,,,,,,,0.0,,0.0,,,,,,,,0.0
2016-05-13T15:40:06,P29DT23H58M11.976928711S,43.42500019073486,46.750000953674316,2016-04-28T15:41:00,2016-05-28T15:39:12,0.12761337282172072,0.06380668641086036,430.72306382281226,0.997907949790795,0.06032765847419351,-0.09209875338093373,0.031771094906740224,-0.020448146051469045,-0.039430780027279025,-0.011322948842910418,0.09040164547633071,0.9351464435146444,430.72306382281226,0.997907949790795,0.04897587338977332,-0.07545550807139154,0.026479634681618215,-0.018535243137734313,-0.037281731534533506,-0.00794439144406099,0.07184858635356799,0.8786610878661087
